aalib 1.4rc5-13
gnome-dictionary 3.26.1-1
gnome-disk-utility 3.32.0-1
gnome-documents 3.32.0-1
gnome-epub-thumbnailer 1.5-1
gnome-flashback 3.30.0-1
gnome-font-viewer 3.32.0-1
gnome-getting-started-docs 3.32.0-1
gnome-keyring 1:3.31.91-1
gnome-klotski 3.32.0-1
gnome-logs 3.32.0-1
gnome-mahjongg 3.32.0-1
gnome-maps 3.32.0-1
gnome-menus 3.32.0-1
gnome-mines 3.32.0-1
gnome-multi-writer 3.32.0-1
gnome-music 1:3.32.0-1
gnome-nettool 3.8.1+205+g8550eef-2
gnome-nibbles 3.24.1-1
gnome-online-accounts 3.32.0-1
gnome-online-miners 3.30.0+3+g8f891d9-1
gnome-panel 3.30.0-2
gnome-photos 3.32.0-1
gnome-power-manager 3.32.0-1
gnome-recipes 2.0.2-4
gnome-robots 3.32.0-1
gnome-screensaver 3.6.1-15
gnome-screenshot 3.32.0-1
gnome-session 3.32.0-1
gnome-settings-daemon 3.32.0-2
gnome-shell 1:3.32.0+20+g05e55cee2-1
gnome-shell-extension-activities-config 73-1
gnome-shell-extension-dash-to-dock 66-1
gnome-shell-extension-no-title-bar v9-1
gnome-shell-extension-vitals-git 34.r202.gdf4e7e5-1
gnome-shell-extensions 3.32.0-1
gnome-software 3.32.0-2
gnome-sound-recorder 3.32.0-1
gnome-sudoku 3.32.0-1
gnome-system-monitor 3.32.0-1
gnome-taquin 3.32.0-1
gnome-terminal 3.32.0-1
gnome-tetravex 3.32.0-1
gnome-themes-extra 3.28-1
gnome-todo 3.28.1+17+gb2ffd8f-1
gnome-tweaks 3.32.0-1
gnome-usage 3.32.0-1
gnome-user-docs 3.32.0-1
gnome-user-share 3.32.0.1-1
gnome-video-effects 0.4.3+13+g6867955-1
gnome-weather 3.32.0-2
gnupg 2.2.15-1
gnutls 3.6.7-1
go 2:1.12.1-1
gobject-introspection-runtime 1.60.0-1
gom 0.3.3-2
google-chrome 73.0.3683.86-1
gperftools 2.7-1
gpgme 1.13.0-1
gpm 1.20.7.r27.g1fd1941-1
gptfdisk 1.0.4-1
granite 5.2.3-1
graphene 1.8.6-1
graphite 1:1.3.13-1
graphviz 2.40.1-14
grep 3.3-1
grilo 0.3.7-1
grilo-plugins 0.3.8-1
groff 1.22.3-8
grub 2:2.02-8
gsettings-desktop-schemas 3.32.0-2
gsfonts 20180524-2
gsm 1.0.18-1
gsound 1.0.2-4
gspell 1.8.1-1
gssdp 1.2.0-1
gst-libav 1.14.4+2+gc324028-1
gst-plugins-bad 1.14.4+22+ge87fb02c1-1
gst-plugins-base 1.14.4+18+g3cc7cc757-1
gst-plugins-base-libs 1.14.4+18+g3cc7cc757-1
gst-plugins-good 1.14.4-2
gstreamer 1.14.4-1
gtk-doc 1.29-1
gtk-update-icon-cache 1:3.24.7+25+g17665f06e3-1
gtk-vnc 0.9.0-1
gtk2 2.24.32-1
gtk3 1:3.24.7+25+g17665f06e3-1
gtkmm3 3.24.1-1
gtksourceview3 3.24.10-1
gtksourceview4 4.2.0-1
gtkspell3 3.0.10-1
gts 0.7.6-5
guile 2.2.4-2
gupnp 1.2.0-1
gupnp-av 0.12.11+2+gb5ca07c-1
gupnp-dlna 0.10.5+4+gc947eed-1
gupnp-igd 0.2.5+3+gedd78a6-1
gvfs 1.40.0-1
gvfs-afc 1.40.0-1
gvfs-goa 1.40.0-1
gvfs-google 1.40.0-1
gvfs-gphoto2 1.40.0-1
gvfs-mtp 1.40.0-1
gvfs-nfs 1.40.0-1
gvfs-smb 1.40.0-1
gzip 1.10-1
harfbuzz 2.4.0-1
harfbuzz-icu 2.4.0-1
hdparm 9.58-1
heroku-cli 7.22.7-1
hicolor-icon-theme 0.17-1
hidapi 0.8.0rc1-3
